Koshi province government to organize investment summit in May,"MORANG:The Koshi province government cabinet meeting has today decided to organize the province investment summit in coming May. The meeting held at the office of the Chief Minister and Council of Ministers under chairmanship of Chief Minister Hikmat Kumar Karki at Biratnagar took the decision to organize the two-day investment summit from May 1.Similarly, a decision was taken to present the bill designed to manage the Province Mass Communication in the Law, Justice and Province Affairs Committee and to hold discussion on it, said Spokesperson of the Koshi government and Minister for Internal Affairs and Law, Rewati Raman Bhandari. The meeting took the decision to present in the Koshi Province Assembly the bill designed to regulate pesticides as well as the bill designed to amend the Chief Attorney’s functions, duties, powers and other conditions of services Act-2075, as revised by the Law, Justice and Province Affairs Committee, he mentioned."
DPM Shrestha assures of constitution amendment at people’s will,"KATHMANDU:Deputy Prime Minister and Minister for Urban Development Prakashman Singh clarified that the revision in constitution would be considered only at people’s will. At a programme organized by Newa: Deya Dabu at Tokha, Kathmandu on Wednesday marking the Newa Unity Day, DPM Singh explained that the constitution would be amended to further strengthen the national charter and to ensure more rights to people. Recalling the promulgation of the present constitution from the second Constituent Assembly after the dissolution of the first one under the challenging political circumstances, Singh admitted that effective implementation of constitution remains the topmost priority. Proper legal procedure and aspirations of people should be major basis for amending constitution, he reiterated, adding “The constitution itself has ensured of provision for timely revision. We must safeguard the national charter and fully exercise our rights.” On a different note, DPM Singh underscored Newar community’s pro-active role in preserving and promoting their arts and cultures. “The Newa: Deya Dabu has been actively working towards protecting and promoting languages, culture and identity of Newar community,” he appreciated the organization’s activities, wishing for the continuity of such initiatives."
BIMSTEC Secretary General meets Minister Pandey,"KATHMANDU:Secretary General of the Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation (BIMSTEC) met Minister of Culture, Tourism and Civil Aviation, Badri Prasad Pandey on Wednesday. A delegation led by the General Secretary Pandey met Minister Pandey at the Ministry, according to Minister’s secretariat. In the meeting, they discussed issues such as visa facilitation among BIMSTEC countries and development of tourism infrastructure in religious, cultural and touristic circuits. On the occasion, Minister Pandey requested visiting Secretary General to increase the BIMSTEC Tourism Fund and support for its effective implementation. He also laid emphasis on the issues of affiliation and mutual exchange between the tourism boards of the BIMSTEC member countries to make Nepal’s aviation sector more viable, thereby making Nepal’s tourism known to the international arena. The BIMSTEC Secretary General Indra Mani Pandey reminded ‘connectivity’ as the significant agenda of the regional organization and expressed commitment to support the development of Nepal’s tourism sector."
Foreign Minister Rana seeks help of Israel govt for Bipin’s release,"KATHMANDU:Minister for Foreign Affairs Dr Arzu Rana Deuba has requested the Israeli government for the release of Nepali student Bipin Joshi, who is under the control of the Hamas. Foreign Minister Rana made such appeal to Israeli government through Israel’s Ambassador to Nepal Shmulik Arie Bass during the latter’s courtesy call on her in Singha Durbar on Wednesday. In the meeting, Foreign Minister Rana urged the Israeli government to take initiative to release Bipin Joshi from Hamas’ captivity. Minister Rana made such appeal in the wake of the news that the Hamas group was going to release 34 people from its captivity. During the meeting, Ambassador Bass informed that the government of Israel had sent a list to Hamas a few months ago for the release of the elderly, women and children who were in critical condition under the Hamas control.In October 2023, the militant Hamas group attacked Israeli land, killing more than 1,000 people, including 10 Nepalis. Bipin Joshi was said to be abducted by the group since then. The government has continued its diplomatic efforts for the release of Bipin since then. Minister Rana has been urging for the safe release of Bipin while engaging in various regional and international communities, and the UN."
Govt receives advisory commission’s report on economic reform,"KATHMANDU:The government received the report of the high level economic reform commission on Wednesday. Deputy Prime Minister and Finance Minister Bishnu Prasad Paudel received the report. The commission formed under the chairmanship of former finance secretary Rameshwor Khanal submitted the report, suggesting a list of works to be carried out in three years for the economic progress. The report has mentioned the area of works to be executed by the government for both short and long terms to bring reform in the national economy. Submitting the document, Chairman Khanal said, “The report has two sections- one is for immediate works, and another for long term- of three years. The report has analyzed the current economic status, identified problems and recommended measures for solution.” Even a draft law has been provided in the report as part of a legal measure to sort out problems facing industrial sectors. Two to three laws had to be scrapped and structural changes of some institutions advised, according to him. The document shed light on government liability and due payment, facilitation to the real loaner of financial sectors, formulation of law to regulate commercial borrow, increase of capital spending, reconstruction of physical structures damaged by the Jajarkot earthquake, quick distribution of compensation to the lands government acquired for development projects, address of the problems facing cooperating sector, facilitation to Indian tourists coming to Nepal via land routes; and furnished related suggestions. The government is further urged to increase premium of health insurance, review the grant-based programmes in view of availability of resources and impact of grants in production and employment, formulation of law to establish a public-private partnership company considering increase of non-banking property and slump in realty business. A mobilization of a high-powered team has been recommended for regular monitoring and onsite inspection of all projects for which more than Rs 100 million budget has been allocated. This is advised as part of increase in capital spending in the remaining time of the current fiscal year. The working area of the saving and credit cooperatives could be limited to geographical area of one local level by making law on it. Similarly, cooperatives are not allowed to make its members other than natural persons. The meeting of the Council of Ministers on October 7, 2024, had formed the high level economic reform advisory commission under Khanal’s chairmanship having the members- member of the National Planning Commission, Dr Prakash Kumar Shrestha; Chief of Department of Economics at TU, Prof Dr Ram Prasad Gyawali; economist Dr Bishwas Gauchan; and senior researcher at Policy Research Institution, Dr Kalpana Khanal."
IMF team meets with Finance Minister Paudel,"KATHMANDU:An International Monetary Fund (IMF) staff team led by Sarwat Jahan, has paid a courtesy call on Deputy Prime Minister and Finance Minister, Bishnu Prasad Paudel. The team is here to review the Extended Credit Facility (ECF) provided by the IMF to Nepal. During the meeting held at the Finance Ministry, Singha Durbar, today, Minister Paudel said signs of improvement are seen in country’s economy in recent period, expressing the belief that the future activities of the improvement would bring further positive results. The government was ready to address the economic challenges through legal, policy-level as well as dialogue and it has been paying special attention for the improvement, he mentioned. DPM Paudel expressed commitment to implement the suggestions received from international community based on country’s national context and needs.Saying the fifth review programme of the IMF was important for the country, the Finance Minister urged the team to hold further discussions on the issues raised about improvement of economy. The government has focused its attention on policy and structural reforms to resolve economic problems, he clarified. According to the Finance Minister’s private secretariat, he expressed the view that policy reforms would play an important role in strengthening the economy in the long run. Lauding the suggestions and support received from international development partners in the reform programme, he said it would be implemented as per the country’s needs. The IMF team said it was reviewing the impact of past reform programmes and was carrying out homework for future reforms. The team has come here to review the progress made through the past reform initiatives in connection with making the country’s economic development policies and strategic plans timely. In January 2022, an ECF of USD 371.6 million was taken due to the decline in foreign exchange reserves and weakening balance of payments. At that time, the ECF was taken to reach 180 per cent of the special drawing rights quota received through the IMF. In previous reviews, the IMF had cited political instability, low implementation of capital expenditure and banking risks as the main challenges. It also suggested strengthening the financial system and being serious about preventing money laundering. It was emphasized that fiscal discipline is essential by increasing capital expenditure for the long-term stability of the economy."
Fourth session of Madhes Province Assembly convenes,"DHANUSA:The fourth session of the Madhes Province Assembly has commenced. In the first meeting of the session today, Speaker Ramchandra Mandal read out a letter about the summoning of the session by the Province Chief. The meeting also nominated members to chair a PA meeting in absence of the Speaker and Deputy Speaker in accordance with Rule 11 of the PA Business Operations Regulations, 2075 BS. They are Hari Narayan Mahato, Chandan Singh, Jawahar Kushawaha and Ramesh Prasad Kurmi. The third session of the Madhes PA had prorogued on September 20. A total of 36 meetings during the first session, 14 in the second session and 34 in the third session were held, according to Speaker Ramchandra Mandal. Bills relating to agriculture, to agricultural seeds, and tourism and the bill designed to amend the act relating to children are presently in the Madhes PA. In the meeting, Natural Resources and Environment Committee President Sharada Das Pahadi is expected to present the Committee’s report regarding a bill to develop and promote tourism industry in the Madhes."
RPP faces internal strife as Lingden’s leadership comes under fire,"KATHMANDU: Internal division is brewing within the Rastriya Prajatantra Party (RPP) as Rajendra Lingden’s leadership comes under intense scrutiny. Concerns have arisen over Lingden’s ability to lead effectively, especially following the party’s disappointing performance in the recent local by-elections. There are accusations that he has been unwilling to collaborate with like-minded parties, which has contributed to growing discontent within the RPP. The party failed to retain deposits for its candidates, even in Lingden’s home district, with a particularly poor result in Kanakai Municipality-6 of Jhapa, where the party’s candidate received only 26 votes. A dissatisfied party member questioned how the party could progress under Lingden’s leadership, especially given the dismal results in his own district. The RPP has also seen a decline in support from urban voters, with candidates receiving low vote counts in Kirtipur and Kathmandu. Furthermore, Lingden is said to have hindered efforts to unite with Kamal Thapa-led RPP Nepal and other pro-monarchy groups, frustrating senior leaders like Pashupati Shamsher Rana, who had advocated for broader unification to strengthen the party. As the party’s support base continues to shrink, Lingden’s refusal to pursue alliances has exacerbated the situation. The upcoming Central Committee meeting, scheduled for January 24-25, is expected to see intense discussions, with some party leaders potentially proposing leadership changes. Even former King Gyanendra Shah has expressed disillusionment with Lingden’s leadership, with sources close to the former monarch indicating regret over his support of Lingden, who has failed to lead the party toward meaningful progress."
UML must defend itself against false accusations: Oli,"KATHMANDU: CPN-UML Chairman KP Sharma Oli has stated that reactionary forces in the country are fearful because patriotic, progressive, and democratic movements are gaining momentum. Addressing the opening of the eighth meeting of the UML Central Committee in Chyasal on Sunday, Prime Minister Oli claimed that these reactionary forces are actively spreading false propaganda to weaken the UML. Oli, who also serves as the Prime Minister, called for greater unity among the people, stressing the importance of strengthening the party through sound policies. He urged members to challenge misinformation and focus on grassroots efforts to transform the party into a decisive force, as adversaries attempt to diminish and discredit it. “We cannot remain silent in the face of accusations from our opponents. Silence reflects weakness. We must counter these allegations with facts,” he said. “All of our organizations need to be proactive, engaging with individuals and households. Ideological work must be given equal priority.” Oli further highlighted the need to resolve internal conflicts within the party. “Infighting and disorder must be stopped. Factionalism, disguised as democracy, will only weaken us. We must unite and focus on the party’s and the country’s interests, not on divisive tactics.” He also cautioned against airing the party’s internal issues in public. Referring to previous events, he remarked, “Some leaders who once celebrated the party’s division or dissolution now find themselves in the awkward position of having to ‘regret’ the successes they once enjoyed.”"
Maoist Center holding Central Committee meeting,"KATHMANDU: The central committee meeting of the Maoist Center is set to begin today (Sunday) in Kathmandu. According to Party Spokesperson Agni Prasad Sapkota, the meeting will focus on discussing the political and organizational report to be presented by Party Chair Pushpa Kamal Dahal ‘Prachanda.’ The meeting, scheduled to start at 1:00 PM, will take place at the party’s central office in Parisdanda. The political report, titled “Commitment for Party Transformation and Reconstruction: Today’s Need,” was previously approved by the standing committee. Chair Dahal will open the meeting by addressing the latest political developments, followed by a discussion session. The meeting will include participation from 409 central members, 205 alternate members, 75 members from party commissions, and 125 officials from the party’s 10 provinces, which include both geographical and non-geographical regions."
