article,summary
"लक्ष्मी इन्टरकन्टिनेन्टल प्रा. लि.ले हुन्डाई इलेक्ट्रिक सवारीसाधनमा प्रि-बजेट अफर ल्याएको छ। जेठ ५ गतेदेखि सुरु हुने यो योजना जेठ १४ सम्म लागू हुनेछ। अफर हुन्डाई कोना इलेक्ट्रिक, आइओएनआइक्यू ५ र क्रेटा इभीमा लागू हुने कम्पनीले जनाएको छ। यो योजना अन्तर्गत ग्राहकहरुले इभीको नि:शुल्क बीमा कभरेज पाउनेछन्। एक वर्षका लागि उनीहरुले बीमा कभरेज पाउनेछन्।  साथै, सडक करसमेत नि:शुल्क हुनेछ। कम्पनीले ३ वटा मोडलका गाडीमा विशेष नगद छुटको व्यवस्था गरेको पनि जनाएको छ। यो अफर अन्तर्गत स्पट एक्सचेन्ज र भ्यालुएसनको सुविधा पनि पाउन सकिनेछ।","लक्ष्मी इन्टरकन्टिनेन्टलले हुन्डाईका इलेक्ट्रिक गाडीहरुमा जेठ ५ देखि १४ सम्म प्रि-बजेट अफर ल्याएको छ। कोना इलेक्ट्रिक, आइओएनआइक्यू ५, र क्रेटा इभीमा लागू हुने यस योजनामा नि:शुल्क बीमा, सडक कर छुट, र नगद छुट पाइनेछ। साथै, स्पट एक्सचेन्ज र भ्यालुएसनको सुविधा पनि उपलब्ध छ।"
"भारतमा एकजना नेपाली महिला पक्राउ परेकी छन्। लखनउको महाराजगंज प्रहरीले नेपाल-भारत सीमाबाट भावना गुरुङलाई पक्राउ गरेकोटाइम्स अफ इन्डियाले उल्लेख गरेको छ। गुरुङको साथबाट नक्कली भारतीय पासपोर्ट र आधारकार्ड पनि भेटिएको जनाइएको छ। गुरुङलाई पछि सुनौली प्रहरीमा बुझाइएको छ। भारतीय अध्यागमन कार्यालयका अधिकृतहरुका अनुसार काठमाडौंबाट दिल्ली जाने मैत्री बसको नियमित चेकजाँचका क्रममा गुरुङ पक्राउ परेकी हुन्। उनले भारतीय अधिकारीहरुलाई भारतीय पासपोर्ट र आधारकार्ड देखाएकी थिइन्। त्यसमा भने उनको नाम सलिना प्रधान रहेको थियो। उनको ठेगाना पश्चिम बंगालको अलिवुरद्वार विवरणमा उल्लेख थियो। तर, अधिकारीहरुले भने उनको साथबाट पाएको कागजपत्र र उनको लवज र पहिरनको आधारमा उनीसँग थप सोधपुछ गरेका थिए। त्यसक्रममा उनको सामानको पनि खोजतलासी गरिएको थियो। खोजतलासीका क्रममा उनको साथबाट नेपाली पासपोर्ट र नागरिकता भेटिएको जनाइएको छ। नेपाली कागजपत्रमा उनको नाम भावना गुरुङ र ठेगाना बुटवल उल्लेख छ। सोधपुछका क्रममा उनले आफू नेपाली नागरिक भएको स्वीकार गरेको भारतीय संचारमाध्यमले जनाएको छ। उनी हङकङमा घरेलु कामदारका रुपमा कार्यरत रहेको खुलेको छ। भारतीय प्रहरीसँग उनले केही व्यक्तिको सहयोगबाट नक्कली भारतीय कागजपत्र बनाएको बयान दिएकी छन्। नेपालबाट हङकङ जान असहज हुने हुँदा यस्तो गरेको उनले बयानमा बताएकी छन्। सुनौलीका स्टेशन हाउस अफिसर अजित प्रताप सिंहले गुरुङविरुद्ध अध्यागन विभागका अधिकारीहरुले मुद्दा दर्ता गरेको बताएका छन्। उनले अन्तर्राष्ट्रिय यात्राका लागि नक्कली भारतीय कागजपत्र बनाएको खुलेको सिंहले बताए।",भारतमा लखनउ प्रहरीले नेपाली महिला भावना गुरुङलाई नक्कली भारतीय कागजातसहित पक्राउ गरेको छ। काठमाडौंबाट दिल्ली जाने बसमा जाँचका क्रममा उनी पक्राउ परेकी हुन्। हङकङ जान सहज होस् भनेर उनले नक्कली कागजात बनाएको स्वीकार गरेकी छन्। उनीविरुद्ध मुद्दा दर्ता गरिएको छ।
"काठमाडौं । भौतिक पूर्वाधार तथा यातायात मन्त्री देवेन्द्र दाहालले सडक पूर्वाधार विकासमा निजी क्षेत्र ल्याउनुपर्ने बताएका छन्। सिमेन्ट उत्पादक संघले आयोजना गरेको सिमेन्ट कंक्रिट रोड कनक्लेभमा उनले सडक पूर्वाधार निर्माणमा निजी क्षेत्र भित्र्याउनुपर्ने बताएका हुन्। ‘अब हामीले सडकहरु निर्माणमा पनि पब्लिक प्राइभेट पाटर्नरसिप अर्थात पीपीपी मोडलहरुबाट जाने तयारी गर्नुपर्छ। निजी क्षेत्र जोडिने बितिकैआय र नाफाको कुरा आउँछ। आय र नाफा आउने सडकहरु अध्ययन गरेर हामी अगाडि बढ्नुपर्छ। त्यसका लागि केही पाइलट प्रोजेक्ट गर्नुपर्छ,’ दाहालले भने, ‘त्यस्ता पाइलट प्रोजेक्टहरुमा यो कंक्रिट रोड मोडल अपनाउन सक्छौं।’ यो अवधारणामा काम गर्नका लागि निजी क्षेत्रलाई कानुनी रुपमा सहज बनाउने काम भइरहेको  उनले बताए। ‘अहिले मन्त्रालयले कानुनहरु पनि बनाइरहेको छ। त्यसमा निजी क्षेत्रलाई साथ लिएर जाने कुरामा कानुनी प्रावधानमा राख्ने योजना रहेको छ,’ उनले भने। सिमेन्ट निर्यात गर्ने अवस्था रहेको भन्दै उनले त्यसको स्वदेशमा नै खपत गर्नुपर्नेमा जोड दिए। ‘सिमेन्ट कंक्रिट सडकको मोडल अगाडि बढाउनु पर्छ। यसका लागि पनि पाइलट प्रोजेक्ट गर्नुपर्छ। दाउन्नेमा सिमेन्ट कंक्रिट रोड ६ किलोमिटर बन्दै गरेको अवस्था छ। सबै कुरामा आत्मनिर्भर बन्दै गइरहेको बेलामा यो मोडल राम्रो हुन्छ,’ दाहालले बताए। भारतमा यही मोडलमा काम भइरहेको उल्लेख गर्दै उनले त्यहाँबाट सिकेर काम गर्नु पर्नेमा जोड दिए। ‘हाम्रो देशको परिवेशमा सडक नै विकास हो भन्ने बुझाइ छ। अब सिमेन्ट कंक्रिट रोड मोडलमा हामी जानुपर्छ। हाम्रो स्रोत नै कम भएकाले लागतको हिसाबमा पनि ‌औचित्य राख्छ। सबै एकैपटक सिमेन्ट कंक्रिट गर्न सम्भव छैन। टिकाउ छ त्यसैले किफायती छ भन्ने नाराका साथ सिमेन्ट कंक्रिट रोड मोडल अगाडि बढाउन सकिन्छ,’ उनले भने।","भौतिक पूर्वाधार तथा यातायात मन्त्री देवेन्द्र दाहालले सडक पूर्वाधार विकासमा निजी क्षेत्रलाई संलग्न गराउन 'पब्लिक प्राइभेट पार्टनरशिप' (पीपीपी) मोडल अपनाउनुपर्ने बताएका छन् । सिमेन्ट कंक्रिट सडक निर्माणलाई प्रोत्साहन गर्दै, उनले यसको लागि कानूनी सहजता प्रदान गर्ने र सिमेन्टको स्वदेशी खपत बढाउने योजना रहेको बताए। दाउन्नेमा निर्माणाधीन सिमेन्ट कंक्रिट सडकलाई उदाहरण दिँदै, उनले टिकाउ र किफायती हुने भएकाले यो मोडल उपयुक्त हुने विचार व्यक्त गरे।"
"काठमाडौं। नेपाल राष्ट्र बैंकको गभर्नर नियुक्तिका प्रक्रिया कार्यकारी निर्देशक डा. गुणाकर भट्टपछि प्रख्यात अर्थशास्त्री डा. विश्वनाथ पौडेलको नाम अगाडि बढाइए पनि प्रधानमन्त्री केपी शर्मा ओलीको अरुचि र आर्थिक बिचौलियाको चक्रव्यूहमा फसेको छ। प्रधानमन्त्री ओलीले सुरुमा हुन्छ भनेर पछि भट्टको नाममा हुन्न भनेपछि नेपाली कांग्रेस सभापति शेरबहादुर देउवाले डा. पौडेललाई गभर्नर बनाउन प्रस्ताव गरेका थिए। पौडेलको नाममा प्रधानमन्त्री सहमत भए पनि गभर्नर तत्काल भने बनाइहाल्ने अवस्था छैन। सिफारिस समितिको बैठक अहिलेसम्म बसेको छैन। तर आज साँझ मन्त्रिपरिषद् बैठक डाकिएको छ। मन्त्रिपरिषद् बैठक डाकिएका कारण आज गभर्नर नियुक्त हुने चर्चा छ तर स्रोतहरुले त्यसलाई पुष्टि गर्न सकिरहेका छैनन्। सिफारिस समितिका सदस्यहरूबीच एक पटक पनि नामका बारेमा छलफल नभएकाले अर्थमन्त्रीले बोकेर ल्याएको सूचीमा हस्ताक्षर नगर्ने एक सदस्यले बताए। ‘कस्ता मान्छेहरु सिफारिस गर्न ठिक हुन्छ, तीनको बायोडाटा हेर्नु पर्‍यो होला,’ ती सदस्यले भने, ‘अर्थमन्त्रीले नाम ल्याउनु भयो भन्दैमा हस्ताक्षर गर्ने भन्ने हुँदैन।’ समितिका सदस्यहरुलाई बैठकका लागि अर्थमन्त्री विष्णु पौडेलले यतिबेला मध्याह्नसम्म बोलाएका छैनन्। सामान्यत: ३/४ घण्टाअघि खबर गरिसक्नु पर्छ। प्रधानमन्त्री ओलीले अर्थमन्त्री पौडेललाई ‘मैले नभनी सिफारिस समितिको बैठक नडाक्न र नाम सिफारिस नगर्न’ उर्दी नै जारी गरेको स्रोतको दाबी छ। त्यही भएर अर्थमन्त्रीले पनि बैठक डाक्न सकेका छैनन्। सिफारिस समितिमा अर्थमन्त्री बाहेक दुवै सदस्य फेरिइसकेका छन्। पूर्व गभर्नर विजयनाथ भट्टराईको राजीनामापछि महाप्रसाद अधिकारी नियुक्त भएका छन् भने विज्ञका तर्फबाट डा. विश्व पौडेलका ठाउँमा डा. पोषराज पाण्डे चयन भएका छन्। राजीनामा दिएपछि पौडेल गभर्नरको उम्मेदवार बनेका छन्। प्रधानमन्त्री ओली डा. गुणाकर भट्टलाई गभर्नर नियुक्त नगर्ने मुडमा पुगेपछि ‘सजिलो छ र चलाउन !’ भनेर निकटवर्तीहरुलाई प्रतिक्रिया दिन्थे। तिनै स्रोतहरूसँग अहिले विश्व पौडेलको नाम आएपछि ‘हेरौं के हुन्छ’ भन्न थालेका छन्। ‘अझै केही समय टार्ने मनस्थितिमा प्रधानमन्त्री हुनुहुन्छ। सरकार नढल्ने विश्वास भएपछि मात्र प्रक्रिया अगाडि बढ्छ भन्ने लाग्छ,’ स्रोतको दाबी छ, ‘बजेट अगडि केही पनि हुन्छ जस्तो लाग्दैन।’ प्रधानमन्त्री ओलीले कांग्रेसका उम्मेदवारहरुलाई नियुक्त गर्न नचाहेको कारण राजनीतिक मात्र होइन। उनी आर्थिक बिचौलियाहरुको फन्दामा छन्। बिचौलियाहरूले भट्टपछि पौडेललाई रोक्न खोजिरहेका छन् र प्रधानमन्त्री ओली उनीहरुको दबाबमा रहेका कारण अगाडि बढ्न सकेका छैनन्। आर्थिक बिचौलियाहरुले ठूला लाइसेन्सहरु हात पार्न राजनीतिक नेतृत्वहरुलाई ‘प्रिपेड डिल’ गर्छ। पहिले डिल भइसकेकाले उनीहरुले दिएको नाम बाहेक अर्को नाम नियुक्त गर्न सरकारलाई सकस भइरहेको हो। धितोपत्र बोर्डको अध्यक्षमा सन्तोषनारायण श्रेष्ठलाई पनि प्रिपेड ग्रुपको सिफारिसमा सरकारले नियुक्त गरेको थियो। अहिले श्रेष्ठ र उनको समूहले खुलेआम सार्वजनिक सेयर निष्कासनमा कमिसन मागेको विषय सार्वजनिक हुँदा समेत प्रधानमन्त्री र अर्थमन्त्रीले कुनै कारबाही गरेका छैनन्। सरकारी लाइसेन्स तथा ठेक्का दिलाउने र सार्वजनिक निकायमा आफ्नो मान्छे भर्ती गराउने ‘प्रिपेड ग्रुप’ मा देशका नामुद व्यवसायी, जो राज्यलाई तिर्नुपर्ने दायित्व भुक्तानी नगरी बसेकाका साथै अत्यधिक ऋण खपत गरिरहेका घरानाहरु पनि सदस्य छन्। डा. विश्व पौडेल राष्ट्रिय योजना आयोगका पूर्व उपाध्यक्ष हुन्। अमेरिकाको युनिभर्सिटी अफ क्यालिफोर्निया बर्क्लेबाट अर्थशास्त्रमा पीएचडी गरेका छन्। उनले अन्तर्राष्ट्रिय श्रम संगठन र मिलेनियम च्यालेन्ज कर्पोरेसनमा समेत काम गरेका छन्। कांग्रेसले सुरुमा अगाडि सारेको डा. गुणाकर भट्ट पनि योग्य व्यक्ति हुन्। उनले अमेरिकाबाट अर्थशास्त्रमा विद्यावारिधि गरेका छन् भने व्यवस्थापनमा स्नातकोत्तर हुन्। उनले नियमन, सुमपरिवेक्षण, आर्थिक अनुसन्धान जस्ता महत्वपूर्ण विभागहरुको नेतृत्व गरिसकेका छन्। प्रधानमन्त्रीले आफ्नो उम्मेदवार कोही पनि नरहेको ‘मेरिटोक्रेसी’ का आधारमा गभर्नर नियुक्त गर्ने केही दिनाअघि बताएका थिए। तर उनले योग्य र सक्षमहरुलाई पाखा लगाएर बिचौलियाले अगाडि बढाएको पात्रलाई नियुक्त गर्न खोजिरहेको अहिलेको अलमलले देखाउँछ।","नेपाल राष्ट्र बैंकको गभर्नर नियुक्ति प्रक्रियामा प्रधानमन्त्रीको अनिच्छा र आर्थिक बिचौलियाको प्रभाव देखिएको छ। सुरुमा डा. गुणाकर भट्ट र पछि डा. विश्वनाथ पौडेलको नाम चर्चामा आए पनि, प्रधानमन्त्रीले तत्काल निर्णय नगर्दा नियुक्ति प्रक्रिया अन्योलमा छ। आर्थिक चलखेलका कारण योग्य व्यक्तिहरू पाखा लाग्ने सम्भावना बढेको छ।"
"बेइजिङ। चीनले अमेरिका, युरोपेली संघ (इयु), ताइवान र जापानबाट आयात हुने प्लास्टिकमा ७५ प्रतिशतसम्म शुल्क लगाएको छ। अनुसन्धानपछि एन्टी-डम्पिङ शुल्क लगाइएको बेइजिङको वाणिज्य मन्त्रालयले जनाएको हो। नयाँ शुल्कले कारका पार्ट्स, मेडिकल उपकरण र घरेलु उपकरणहरूमा प्रयोग हुने सामान्य प्लास्टिक पोलिफर्मल्डिहाइड कोपोलिमरको आयातलाई लक्षित गर्दछ। वाणिज्य मन्त्रालयले आइतबार जनाए अनुसार ती शुल्कहरू ३.८ प्रतिशतदेखि ७४.९ प्रतिशतसम्म हुनेछन् र सोमबारदेखि लागू हुनेछन्। नयाँ शुल्कहरू अमेरिका र चीनले एक अर्काका सामानमा व्यापक कर कटौती गरेको केही दिनपछि आएको छ। विश्व बजार र अन्तर्राष्ट्रिय आपूर्ति शृंखलामा हलचल ल्याएको निर्मम व्यापार युद्धमा ९० दिनका लागि अस्थायी रूपमा तनाव कम गरिएको छ। बेइजिङले व्यापक व्यापार विवाद भएका देशहरूविरुद्ध बारम्बार एन्टी-डम्पिङ अनुसन्धान सुरु गरेको छ। अप्रिलमा चीनले फ्रान्सको निर्यात-निर्भर कोग्नाक उद्योगमा असर पार्दै इयु ब्रान्डीमा एन्टी-डम्पिङ उपायहरू लगाएको थियो। -एएफपी/रासस","चीनले अमेरिका, युरोपेली संघ, ताइवान र जापानबाट आयात हुने प्लास्टिकमा ७५ प्रतिशतसम्म एन्टी-डम्पिङ शुल्क लगाएको छ। यो शुल्क कारका पार्टस्, मेडिकल उपकरण र घरेलु उपकरणहरूमा प्रयोग हुने प्लास्टिक पोलिफर्मल्डिहाइड कोपोलिमरमा लक्षित छ। वाणिज्य मन्त्रालयका अनुसार शुल्कहरू ३.८ देखि ७४.९ प्रतिशतसम्म हुनेछन्। यो कदम अमेरिका र चीनको व्यापार तनाव कम भएलगत्तै आएको हो।"
काठमाडौं । सम्पत्ति शुद्धीकरण सम्बन्धी कानुनको पालना नगर्ने ११ वटा ब्रोकर कम्पनी कारबाहीमा परेका छन्। नेपाल धितोपत्र बोर्ड (सेबोन) ले सम्पत्ति शुद्धीकरण तथा आतंकवादी क्रियाकलापमा वित्तीय लगानी निवारण सम्बन्धी निर्देशन पालना नगर्ने ब्रोकरलाई कारबाही गरेको हो। सेबोनले कम्पनीहरुलाई लिखित रुपमा सचेत गराएको जनाएको छ। कुन कुन कम्पनी परे कारबाहीमा ?,सम्पत्ति शुद्धीकरण सम्बन्धी निर्देशन पालना नगरेको आरोपमा नेपाल धितोपत्र बोर्डले ११ ब्रोकर कम्पनीलाई कारबाही गरेको छ। बोर्डले ती कम्पनीहरूलाई लिखित रूपमा सचेत गराएको छ।
"काठमाडौं । उपप्रधान तथा सहरी विकास मन्त्री प्रकाशमान सिंहले कंक्रिट रोड प्रविधिलाई अगाडि बढाउँदा आयात घाटा घटाउन ठुलो योगदान पुग्ने बताएका छन्। आज सिमेन्ट उत्पादक संघले आयोजना गरेको सिमेन्ट कंक्रिट रोड कनक्लेभ उनले यो अवधारणामा काम गर्न सके नेपालको औद्योगिक विकासमा पनि टेवा पुग्ने मत राखे। ‘कालोपत्रे गर्न आवश्यक सबै सामग्री आयातित हुन। त्यसलाई प्रतिस्थापन गर्न यसले ठुलो भुमिका खेल्छ। आन्तरिक उद्योगलाई यसले राम्रो साथ दिने भएकाले कंक्रिट रोड अवधारणालाई लागू गर्नुपर्नेमा सरकारको पनि साथ हुनेछ,’ उनले भने। भारतमा कंक्रिट रोडको विकास बारे विज्ञहरुबाट जानकारी लिइएको भन्दै उनले यो प्रविधिलाई नेपालले पनि थोरै स्थानहरुमा अपनाइसकेको बताए। ‘नेपालको रफ टेरेन्ट तथा ट्वीस्ट एण्ड टर्न भएको स्थानमा सिमेन्ट कंक्रिड रोड निर्माण भइरहेको छ। यो प्रविधि नेपालको गाउँगाउँमा पनि प्रयोग भइसकेको छ। नेपालमा खास गरेर सिमेन्ट उत्पादनको २२ मिलियन मेट्रिक टन स्वदेशमा उत्पादन हुन्छ। जसले गर्दा कंक्रिट रोडका लागि आवश्यक पर्ने सम्पूर्ण सामग्रीहरु आन्तरिक रुपमा उपलब्ध छन्। लागतको कुरा गर्नु भन्दा पनि आफ्नै देशमा उत्पादन हुने सामग्रीलाई प्रयोगमा ल्याउन सकिने कुरामा जोड दिनुपर्छ,’ उनले भने। त्यस्तै उनले कालोपत्रेको तुलानामा सुरुवाती लागत केही बढी लागे पनि यो प्रविधिको ‘लाइफ साइकल’ दिगो रहने र नगन्य मर्मत खर्च हुने बताए।",उपप्रधानमन्त्री प्रकाशमान सिंहले कंक्रिट सडक प्रविधिले आयात घटाउन र औद्योगिक विकासमा टेवा पुर्‍याउने बताए। कालोपत्रेको विकल्पमा स्वदेशी सिमेन्ट प्रयोग गरी सडक बनाउँदा लागत बढी भएपनि टिकाउ हुने उनको भनाइ छ। सरकारले यो अवधारणालाई सहयोग गर्ने उनले बताए।
"काठमाडौं । भन्सार छलेर भारतीय कन्टेनरमा भित्रिएको तीन करोड ६१ लाख मूल्य बराबरको कृषि औजार प्रहरीले बरामद गरेको छ। जिल्ला प्रहरी कार्यालय झापाको टोलीले आइतबार राति विर्तामोड नगरपालिका–५ स्थित पूर्व–पश्चिम राजमार्गबाट तीन भारतीय कन्टेनर जाँच गर्दा भन्सार छलेर अवैध रुपमा सामान भित्र्याइएको फेला पारेको निमित्त सूचना अधिकारी प्रवीण श्रेष्ठले बताए। उनका अनुसार काँकडभिट्टा हुँदै नेपालतर्फ भित्रिएका एनएल ०१ एएच ५६७९, एनएल ०१ एन ९२२३ र एनएल ०२ एल ७४८६ नम्बरका तीनवटा भारतीय कन्टेनरलाई प्रहरी टोलीले राजमार्गबाटै नियन्त्रणमा लिएको थियो। ती कन्टेनरभित्र बाली काट्ने मेसिन र त्यसमा प्रयोग हुने कृषि औजार रहेको थियो। बरामद अवैध सामान र कन्टेनरलाई आवश्यक कारबाहीका लागि राजस्व अनुसन्धान कार्यालय इटहरी पठाइएको जिल्ला प्रहरी कार्यालय झापाका निमित्त सूचना अधिकारी श्रेष्ठले जानकारी दिए। प्रहरीले सीमावर्ती क्षेत्रमा अवैध कारोबार नियन्त्रणका लागि पछिल्ला दिन निगरानी बढाएको जनाएको छ।","झापामा प्रहरीले भन्सार छलेर ल्याइएको ३ करोड ६१ लाख बराबरको कृषि औजार बरामद गरेको छ। विर्तामोडमा भारतीय कन्टेनर जाँच गर्दा उक्त सामान फेला परेको हो। बरामद सामान र कन्टेनरलाई राजस्व अनुसन्धान कार्यालय पठाइएको छ, प्रहरीले सीमा क्षेत्रमा निगरानी बढाएको छ।"
काठमाडौं। सुनको मूल्य फेरि बढेको छ। सोमबार ६ सय रुपैयाँ बढ्दै कारोबार मूल्य प्रति तोला १ लाख ८४ हजार ८ सय रुपैयाँ निर्धारण भएको नेपाल सुनचाँदी व्यवसायी महासंघले जनाएको छ। साताको पहिलो दिन सुन ६ सय रुपैयाँले घटेर प्रति तोला १ लाख ८४ हजार २ सय रुपैयाँमा कारोबार भएको थियो। चाँदी प्रति तोला १ हजार ९ सय ४५ रुपैयाँ छ। गत बिहीबारका तुलनामा २० रुपैयाँ बढेर शुक्रबार उक्त मूल्य कायम भएको थियो। त्यसयता चाँदीको कारोबार मूल्यमा घटबढ भएको छैन। अन्तर्राष्ट्रिय बजारमा सुनको मूल्य सोमबार प्रति औंस ३२१७.०५ डलर छ। चाँदी प्रति औंस ३२.३४ डलर छ। आइतबार सुन प्रति औंस ३२०१.२२ डलर र चाँदी प्रतिऔंस ३२.२८ डलर थियो।,नेपाल सुनचाँदी व्यवसायी महासंघका अनुसार सोमबार सुनको मूल्य तोलामा ६०० रुपैयाँले बढेर १ लाख ८४ हजार ८०० रुपैयाँ पुगेको छ। चाँदीको मूल्य भने प्रति तोला १ हजार ९४५ रुपैयाँमा स्थिर छ। अन्तर्राष्ट्रिय बजारमा सुन र चाँदी दुवैको मूल्यमा वृद्धि भएको छ।
"काठमाडौं। नेपाल राष्ट्र बैंककी कामु गभर्नर डा. नीलम ढुंगानाले सेयर बजारलाई थप समृद्ध बनाउन वास्तविक अर्थतन्त्रको विस्तार र उत्पादनमूलक क्षेत्रमा लगानी अभिवृद्धि गर्नुपर्नेमा जोड दिएकी छन्। नेपाल सेयर बजार लगानीकर्ता संघका पदाधिकारीको टोलीसँगको परिचयात्मक भेटमा उनले सेयर बजारमा उत्पादनमूलक कम्पनीको सहभागिता बढ्नुपर्ने बताइन। हाल सेयर बजारमा बैंक तथा वित्तीय संस्थाहरूको ६० प्रतिशतभन्दा बढी हिस्सा रहेको उल्लेख गर्दै उत्पादनमूलक कम्पनीहरूको सहभागिता बढाउन र वित्तीय क्षेत्रको प्रभुत्व क्रमशः घटाउन आवश्यक रहेको उनले बताइन। राष्ट्र बैंक सेयर बजारको प्रत्यक्ष नियामक नभए पनि मौद्रिक नीति र ब्याजदरले बजारको गतिशीलतामा महत्त्वपूर्ण प्रभाव पार्ने उनले स्पष्ट पारिन्। संघका अध्यक्ष डा. केशवप्रसाद श्रेष्ठ नेतृत्वको पदाधिकारी टोलीले कामु गभर्नर ढुंगानालाई भेटमा लगानीकर्ताको हितमा काम गर्न ध्यानाकर्षण गरेको थियो। भेटघाटको मुख्य उद्देश्य संघको गतिविधि, लक्ष्य र योजनाहरूबारे जानकारी गराउनुका साथै सेयर बजारको विकास र लगानीकर्ता हितका लागि राष्ट्र बैंकसँग सहकार्यको सम्भावना खोज्नु रहेको संघले जनाएको छ। भेटमा अध्यक्ष डा. श्रेष्ठले संघको स्थापना, उद्देश्य र दीर्घकालीन योजनाहरूबारे विस्तृत रूपमा प्रकाश पारे। उनले विशेषगरि लगानीकर्ताहरूलाई वित्तीय साक्षरता प्रदान गर्ने, सेयर बजारसम्बन्धी सूचना प्रवाहलाई प्रभावकारी बनाउने र बजारमा पारदर्शिता तथा विश्वसनीयता कायम गर्ने कुरालाई संघको प्राथमिकतामा राखिएको बताए। सेयर बजारलाई आम लगानीकर्ताका लागि सुरक्षित र समावेशी बनाउन संघले रचनात्मक पहल गर्ने प्रतिबद्धता उनले व्यक्त गरे। भेटका क्रममा संघका संस्थापक महासचिव रविन कँडेलले कामु गभर्नर ढुंगानालाई संघको पत्र हस्तान्तरण गर्दै सेयर बजारको अवस्था, चुनौती र सम्भावनाहरूबारे चर्चा गरे। साथै अर्थतन्त्रमा राष्ट्र बैंकको नियामकीय भूमिका र यसले सेयर बजारमा पार्ने प्रभावबारे आफ्नो धारणा राखे। लगानीकर्ताको हित संरक्षण र बजारको स्थायित्वका लागि राष्ट्र बैंकसँग सहकार्य गर्न संघ इच्छुक रहेको उनले उल्लेख गरे। भेटघाटमा संघका अध्यक्ष डा. श्रेष्ठ, वरिष्ठ उपाध्यक्ष किशोर पौडेल, महासचिव कँडेल, सचिव  भुवन ढकाल, कोषाध्यक्ष मछिन्द्र बस्नेत, सदस्यहरू विवेक श्रेष्ठ, सुदर्शन गौतम र मीना भट्टको सहभागिता थियो।",नेपाल राष्ट्र बैंककी कामु गभर्नर नीलम ढुंगानाले सेयर बजारलाई समृद्ध बनाउन उत्पादनमूलक क्षेत्रमा लगानी बढाउनुपर्ने बताइन्। उनले सेयर बजारमा उत्पादनमूलक कम्पनीको सहभागिता बढाउनुपर्ने र बैंक तथा वित्तीय संस्थाको हिस्सा घटाउनुपर्नेमा जोड दिइन्। सेयर बजार लगानीकर्ता संघका पदाधिकारीले कामु गभर्नरलाई भेटेर लगानीकर्ताको हितमा काम गर्न आग्रह गरेका थिए।
